Date,Close,Volume
Jan-31-2023,23153.2004,74707896121
Jan-30-2023,22814.4792,79832137387
Jan-29-2023,23775.9829,60729082837
Jan-28-2023,23007.4396,62781856583
Jan-27-2023,23051.2708,74589340814
Jan-26-2023,23007.8352,94982498162
Jan-25-2023,23125.7229,82625725355
Jan-24-2023,22614.65844,79571624078
Jan-23-2023,22944.9201,73343525504
Jan-22-2023,22723.9532,79716701625
Jan-21-2023,22751.6074,1.01E+11
Jan-20-2023,22665.7507,64447751467
Jan-19-2023,21082.0582,77983080988
Jan-18-2023,20686.51042,58478858169
Jan-17-2023,21157.18961,51515154112
Jan-16-2023,21171.04828,60636932850
Jan-15-2023,20856.05839,63212388594
Jan-14-2023,20983.9756,1.05E+11
Jan-13-2023,19913.72947,81808386802
Jan-12-2023,18858.6646,72766611570
Jan-11-2023,17939.3625,43812401707
Jan-10-2023,17435.75165,45095406948
Jan-09-2023,17194.77873,40370843456
Jan-08-2023,17070.57451,21776089963
Jan-07-2023,16944.5396,34306384469
Jan-06-2023,16953.97207,34958072839
Jan-05-2023,16828.8464,38960056725
Jan-04-2023,16857.28271,39384163470
Jan-03-2023,16675.90904,29648327502
Jan-02-2023,16677.44994,24859666802
Jan-01-2023,16607.06946,23508784398
Dec-31-2022,16538.3479,34065336177
Dec-30-2022,16603.75195,36451566841
Dec-29-2022,16641.44486,41785365276
Dec-28-2022,16549.98327,38602978212
Dec-27-2022,16706.45971,31444051214
Dec-26-2022,16908.94843,26543512370
Dec-25-2022,16829.9184,21982382836
Dec-24-2022,16833.8821,20626954276
Dec-23-2022,16780.46368,35636481444
Dec-22-2022,16822.06214,33312386965
Dec-21-2022,16806.4165,42938911495
Dec-20-2022,16902.54219,50421339947
Dec-19-2022,16424.79671,29555712498
Dec-18-2022,16750.76581,25538438677
Dec-17-2022,16785.8923,46630829170
Dec-16-2022,16608.4932,47661468459
Dec-15-2022,17339.45827,56261667200
Dec-14-2022,17799.16897,53775197070
Dec-13-2022,17766.35055,41107035769
Dec-12-2022,17220.81454,27210991609
Dec-11-2022,17091.91654,19589911019
Dec-10-2022,17114.34059,25743383676
Dec-09-2022,17123.38673,34491913202
Dec-08-2022,17254.8416,31326142821
Dec-07-2022,16838.04747,33628606812
Dec-06-2022,17088.37612,33312994596
Dec-05-2022,16959.33606,33310234567
Dec-04-2022,17130.16533,25946687019
Dec-03-2022,16903.72363,28422679969
Dec-02-2022,17088.4265,33498051231
Dec-01-2022,16956.1893,38788974492
Nov-30-2022,17188.63468,44743059371
Nov-29-2022,16436.1924,52776387684
Nov-28-2022,16212.40325,44930760967
Nov-27-2022,16432.36462,35423221803
Nov-26-2022,16461.19452,39602744661
Nov-25-2022,16511.91128,40539647986
Nov-24-2022,16597.7313,51316136348
Nov-23-2022,16615.2292,54191750386
Nov-22-2022,16174.9574,58615626724
Nov-21-2022,15779.9717,50201276580
Nov-20-2022,16291.4477,28445975204
Nov-19-2022,16715.83859,33337255479
Nov-18-2022,16711.14178,47289260011
Nov-17-2022,16690.88953,51656804096
