Date,Close,Volume
31-Jan-23,4076.6,4679320000
30-Jan-23,4017.77,3802000000
27-Jan-23,4070.56,3907760000
26-Jan-23,4060.43,3809590000
25-Jan-23,4016.22,3724020000
24-Jan-23,4016.95,3320430000
23-Jan-23,4019.81,3945210000
20-Jan-23,3972.61,4013360000
19-Jan-23,3898.85,3991500000
18-Jan-23,3928.86,4298710000
17-Jan-23,3990.97,4235560000
13-Jan-23,3999.09,3939700000
12-Jan-23,3983.17,4440260000
11-Jan-23,3969.61,4303360000
10-Jan-23,3919.25,3851030000
9-Jan-23,3892.09,4311770000
6-Jan-23,3895.08,3923560000
5-Jan-23,3808.1,3893450000
4-Jan-23,3852.97,4414080000
3-Jan-23,3824.14,3959140000
30-Dec-22,3839.5,2979870000
29-Dec-22,3849.28,3003680000
28-Dec-22,3783.22,3083520000
27-Dec-22,3829.25,3030300000
23-Dec-22,3844.82,2819280000
22-Dec-22,3822.39,3956950000
21-Dec-22,3878.44,3775200000
20-Dec-22,3821.62,3985370000
19-Dec-22,3817.66,3969610000
16-Dec-22,3852.36,7493660000
15-Dec-22,3895.75,4493900000
14-Dec-22,3995.32,4472340000
13-Dec-22,4019.65,5079360000
12-Dec-22,3990.56,3904130000
9-Dec-22,3934.38,3888260000
8-Dec-22,3963.51,4006900000
7-Dec-22,3933.92,4118050000
6-Dec-22,3941.26,4368380000
5-Dec-22,3998.84,4280820000
2-Dec-22,4071.7,4012620000
1-Dec-22,4076.57,4527130000
30-Nov-22,4080.11,6579360000
29-Nov-22,3957.63,3546040000
28-Nov-22,3963.94,3615430000
25-Nov-22,4026.12,1706460000
23-Nov-22,4027.26,3279720000
22-Nov-22,4003.58,3887990000
21-Nov-22,3949.94,3850690000
18-Nov-22,3965.34,4037360000
17-Nov-22,3946.56,4051780000
16-Nov-22,3958.79,4165320000
15-Nov-22,3991.73,5015310000
14-Nov-22,3957.25,4561930000
11-Nov-22,3992.93,5593310000
10-Nov-22,3956.37,5781260000
9-Nov-22,3748.57,4645010000
